policy,seed,total_served,total_reneged,avg_wait_time,throughput,renege_rate,served_general,reneged_general,renege_rate_general,served_fan,reneged_fan,renege_rate_fan,served_vip,reneged_vip,renege_rate_vip,served_coachella_stage,reneged_coachella_stage,avg_wait_coachella_stage,served_sahara,reneged_sahara,avg_wait_sahara,served_outdoor_theatre,reneged_outdoor_theatre,avg_wait_outdoor_theatre,served_mojave,reneged_mojave,avg_wait_mojave,served_gobi,reneged_gobi,avg_wait_gobi,served_sonora,reneged_sonora,avg_wait_sonora,served_do_lab,reneged_do_lab,avg_wait_do_lab,served_yuma,reneged_yuma,avg_wait_yuma
Baseline,100,5506,26,0.4171,688.25,0.0047,3522,11,0.0031135012737050667,957,3,0.003125,516,12,0.022727272727272728,2225,26,1.03,1053,0,0.0,626,0,0.0,521,0,0.0,340,0,0.0,254,0,0.0,271,0,0.0,216,0,0.0
Baseline,101,5521,26,0.4222,690.125,0.0047,3534,12,0.00338409475465313,962,2,0.002074688796680498,517,12,0.022684310018903593,2212,26,1.05,1002,0,0.0,655,0,0.0,523,0,0.0,354,0,0.0,294,0,0.0,281,0,0.0,200,0,0.0
Baseline,102,5455,14,0.3278,681.875,0.0026,3452,5,0.0014463407578825572,981,2,0.002034587995930824,513,7,0.013461538461538462,2230,14,0.8,1014,0,0.0,619,0,0.0,508,0,0.0,327,0,0.0,266,0,0.0,282,0,0.0,209,0,0.0
Baseline,103,5459,15,0.3669,682.375,0.0027,3517,7,0.0019863791146424517,917,1,0.0010893246187363835,508,7,0.013592233009708738,2278,15,0.88,1043,0,0.0,591,0,0.0,487,0,0.0,340,0,0.0,261,0,0.0,266,0,0.0,193,0,0.0
Baseline,104,5580,27,0.4101,697.5,0.0048,3634,8,0.002196595277320154,913,3,0.0032751091703056767,521,16,0.0297951582867784,2233,27,1.02,993,0,0.0,651,0,0.0,539,0,0.0,373,0,0.0,276,0,0.0,301,0,0.01,214,0,0.0
Baseline,105,5576,20,0.4593,697.0,0.0036,3571,6,0.0016773832820799553,988,5,0.005035246727089627,500,9,0.01768172888015717,2337,20,1.08,987,0,0.0,608,0,0.0,491,0,0.0,378,0,0.0,301,0,0.07,287,0,0.09,187,0,0.0
Baseline,106,5346,8,0.3372,668.25,0.0015,3448,4,0.0011587485515643105,886,2,0.0022522522522522522,502,2,0.003968253968253968,2081,8,0.85,1005,0,0.0,618,0,0.0,516,0,0.0,343,0,0.0,258,0,0.0,305,0,0.09,220,0,0.0
Baseline,107,5542,16,0.4326,692.75,0.0029,3594,2,0.0005561735261401557,910,2,0.0021929824561403508,527,12,0.022263450834879406,2302,16,1.04,1046,0,0.0,633,0,0.0,466,0,0.0,349,0,0.0,273,0,0.0,281,0,0.0,192,0,0.0
Baseline,108,5353,4,0.2898,669.125,0.0007,3450,1,0.0002897710808461316,896,0,0.0,484,3,0.006160164271047228,2205,4,0.67,997,0,0.0,570,0,0.0,492,0,0.0,328,0,0.0,281,0,0.02,279,0,0.21,201,0,0.0
Baseline,109,5323,22,0.3479,665.375,0.0041,3364,5,0.0014841199168892847,943,6,0.006322444678609062,513,11,0.02099236641221374,2149,22,0.86,1005,0,0.0,604,0,0.0,484,0,0.0,356,0,0.0,245,0,0.0,277,0,0.0,203,0,0.0
