stage,time,occupancy,queue_length,total_served,total_reneged,avg_wait_time,active_show,current_artist
Coachella Stage,0,0,0,0,0,0.0,False,
Sahara,0,0,0,0,0,0.0,False,
Outdoor Theatre,0,0,0,0,0,0.0,True,SZA
Mojave,0,0,0,0,0,0.0,False,
Gobi,0,0,0,0,0,0.0,False,
Sonora,0,0,0,0,0,0.0,False,
Do Lab,0,0,0,0,0,0.0,False,
Yuma,0,0,0,0,0,0.0,True,Ricardo Villalobos
Coachella Stage,10,0,0,0,0,0.0,False,
Sahara,10,0,0,0,0,0.0,False,
Outdoor Theatre,10,2,0,2,0,0.0,True,SZA
Mojave,10,0,0,0,0,0.0,False,
Gobi,10,0,0,0,0,0.0,False,
Sonora,10,0,0,0,0,0.0,False,
Do Lab,10,0,0,0,0,0.0,False,
Yuma,10,0,0,0,0,0.0,True,Ricardo Villalobos
Coachella Stage,20,0,0,0,0,0.0,False,
Sahara,20,0,0,0,0,0.0,False,
Outdoor Theatre,20,5,0,5,0,0.0,True,SZA
Mojave,20,0,0,0,0,0.0,False,
Gobi,20,0,0,0,0,0.0,True,Soft Play
Sonora,20,0,0,0,0,0.0,False,
Do Lab,20,1,0,0,0,0.0,True,Floating Points
Yuma,20,0,0,0,0,0.0,True,Ricardo Villalobos
Coachella Stage,30,0,0,0,0,0.0,False,
Sahara,30,4,0,0,0,0.0,True,Fisher
Outdoor Theatre,30,7,0,7,0,0.0,True,SZA
Mojave,30,1,0,0,0,0.0,True,Sample Minds
Gobi,30,1,0,1,0,0.0,True,Soft Play
Sonora,30,0,0,0,0,0.0,False,
Do Lab,30,4,0,4,0,0.0,True,Floating Points
Yuma,30,0,0,0,0,0.0,True,Ricardo Villalobos
Coachella Stage,40,0,0,0,0,0.0,False,
Sahara,40,16,0,16,0,0.0,True,Fisher
Outdoor Theatre,40,6,0,9,0,0.0,False,
Mojave,40,8,0,8,0,0.0,True,Sample Minds
Gobi,40,2,0,2,0,0.0,True,Soft Play
Sonora,40,2,0,0,0,0.0,True,DJ Stingray
Do Lab,40,4,0,4,0,0.0,True,Floating Points
Yuma,40,1,0,1,0,0.0,True,Ricardo Villalobos
Coachella Stage,50,0,0,0,0,0.0,False,
Sahara,50,17,0,18,0,0.0,True,Fisher
Outdoor Theatre,50,5,0,9,0,0.0,False,
Mojave,50,9,0,11,0,0.0,True,Sample Minds
Gobi,50,1,0,2,0,0.0,False,
Sonora,50,7,0,7,0,0.0,True,DJ Stingray
Do Lab,50,4,0,5,0,0.0,True,Floating Points
Yuma,50,0,0,1,0,0.0,False,
